microinvest_code,name_bg,unit_raw,unit,quantity,purchase_price
05070609-NP,ВЕНДА-ПАНТА 12см 5х3х3 ХРОМ**,БР.,pcs,17.000,1.91
05070608-CP,ВЕНДА-ПАНТА 7см 3х2.5х2.5 ХР**,БР.,pcs,1.000,1.48
05070608-GP,ВЕНДА-ПАНТА 7см 3х2.5х2.5ЖЪЛ**,БР.,pcs,17.000,1.48
05070608-СХ,ВЕНДА-ПАНТА 7см. САТЕН С ОРН**,БР.,pcs,48.000,1.20
05070615,ВЕНДА-ПАНТА АНУБА РЕГУЛИРАЩА**,БР.,pcs,10.000,1.63
04040205,ВЕНКО-1 -СТОЙКА ЗА АКСЕСОАРИ**,БР.,pcs,19.000,2.05
04040203,ВЕНКО-10-ЛАМПА**,БР.,pcs,35.000,2.56
04040204,ВЕНКО-11-САПУНЕРКА С ГЪБА**,БР.,pcs,52.000,1.28
04040206,ВЕНКО-13-ДРЪЖКА 3 ЧАСТИ**,БР.,pcs,36.000,3.07
04040217,ВЕНКО-14-ДРЪЖКА ЗА ЧЕТКА**,БР.,pcs,23.000,4.09
04040216,ВЕНКО-18-К-Т ЗА ПОЧИСТВ.2ЧАС**,БР.,pcs,2.000,5.11
04040214,ВЕНКО-19-ПАРЦАЛИ**,БР.,pcs,99.000,0.51
04040207,ВЕНКО-2 -СТОЙКА ЗА РУЛО-Т.Х.**,БР.,pcs,72.000,2.05
04040215,ВЕНКО-20-РЕЗЕРВ.ГЪБА ЗА СТОЙ**,БР.,pcs,168.000,0.51
04040209,ВЕНКО-3 -СТОЙКА ЗА ШАМП.ГОЛЯ**,БР.,pcs,3.000,2.56
04040208,ВЕНКО-4 -СТОЙКА ЗА ШАМП.МАЛК**,БР.,pcs,13.000,2.05
04040201,ВЕНКО-5 -ЕТАЖЕРКА ТРОЙНА,БР.,pcs,2.000,4.60
04040210,ВЕНКО-6 -КОШНИЦА ЗА БАНЯ**,БР.,pcs,12.000,2.56
04040211,ВЕНКО-8 -СТОЙКА ЗА WC ЧЕТКА**,БР.,pcs,69.000,1.53
07010037,ВЕТРОВКА L,БР.,pcs,6.000,7.67
CHСН079,ВИКО КЛЮЧ ДВОЕН,БР,pcs,361.000,0.37
CHСН078,ВИКО КЛЮЧ СВЕТЕЩ ДЕВИАТОР,БР,pcs,34.000,0.43
05030187,ВОДЕН НИВЕЛ 20м**,БР.,pcs,4.000,3.77
03050090,ВРЪТКА/Н.КИРОВ/-0..4-бяла,БР.,pcs,68.000,0.18
03050085,ВРЪТКА/Н.КИРОВ/-0..4-черна**,БР.,pcs,49.000,0.17
07010728,ВЪЖЕ АЛПИНИСКО 20м Ф 8**,БР.,pcs,12.000,1.53
CH12032,ВЪЖЕ ДОМАКИНСКО  МТ-100,БР,pcs,190.000,0.43
07010696,ВЪЖЕ ДОМАКИНСКО 100м.**,БР.,pcs,2.000,2.53
07010689,ВЪЖЕ ДОМАКИНСКО 10м.**,БР.,pcs,12.000,0.25
07010690,ВЪЖЕ ДОМАКИНСКО 15м.**,БР.,pcs,17.000,0.38
07010694,ВЪЖЕ ДОМАКИНСКО 40м.**,БР.,pcs,28.000,1.01
07010695,ВЪЖЕ ДОМАКИНСКО 50м.**,БР.,pcs,37.000,1.27
07010688,ВЪЖЕ ДОМАКИНСКО 5м.**,БР.,pcs,93.000,0.15
07010310,ВЪЖЕ ЗА ПРОСТОР 10м L-10**,БР.,pcs,29.000,0.20
07010702,ВЪЖЕ КОРДЕЛО Ф1мм.-ЦВЕТНО,БР.,pcs,10.000,0.72
07010703,ВЪЖЕ КОРДЕЛО Ф1мм.-ЯРКО,БР.,pcs,20.000,0.92
